station,subject,I,II,III,IV,V,VI,VII,VII,IX,X,XI,XII,year
Дмитров,Московская область,3.1,3.1,4,6.2,9.4,12.7,15,13.9,10.4,7.3,5,3.7,7.8
Кашира,Московская область,3.3,3.2,4.1,6.4,10,13.5,15.2,14.2,10.7,7.4,5.1,3.8,8.1
Можайск,Московская область,3.2,3.2,4.2,6.5,9.8,13.2,15.4,14.2,10.6,7.4,5.2,3.9,8.1
Москва,Московская область,3.3,3.3,4.3,6.6,10,13.3,15.7,14.6,10.9,7.5,5.2,3.9,8.2
Наро-Фоминск,Московская область,3.1,3.1,4.1,6.3,9.6,12.9,15.1,13.9,10.4,7.3,5.1,3.8,7.9
Черусти,Московская область,3,3,4,6.5,10,13.3,15.6,14.3,10.5,7.3,4.9,3.6,8
Вайда-Губа,Мурманская область,3.6,3.5,4,4.7,6.1,8.2,10.8,10.5,8.6,6.3,4.8,4.1,6.3
Кандалакша,Мурманская область,2.4,2.5,3.3,4.3,6.1,9.2,12.3,11.3,8.7,6,4.1,3.2,6.1
Ковдор,Мурманская область,2.4,2.4,3.1,4,5.7,8.5,11.3,10.5,8,5.5,3.8,2.9,5.7
Краснощелье,Мурманская область,2.3,2.4,3,4,5.6,8.3,11.2,10.5,8.3,5.7,3.9,3,5.7
Ловозеро,Мурманская область,2.2,2.2,2.9,3.9,5.6,8.4,11.2,10.5,8,5.5,3.6,2.8,5.6
Мончегорск,Мурманская область,2.4,2.4,3.1,4.2,5.8,8.5,11.3,10.7,8.3,5.7,3.8,3,5.8
Мурманск,Мурманская область,2.6,2.7,3.4,4.3,5.8,8.1,10.9,10.5,8.3,5.7,4,3.2,5.8
Ниванкюль,Мурманская область,2.4,2.4,3.1,4.1,5.8,8.6,11.5,10.9,8.3,5.8,4,2.9,5.9
Пялица,Мурманская область,2.8,2.7,3.3,4.2,5.9,8.5,11.2,10.9,8.9,6.3,4.6,3.6,6.1
о. Сосновец,Мурманская область,2.9,2.8,3.5,4.3,5.7,7.8,10.1,10.4,9,6.5,4.7,3.8,6
Териберка,Мурманская область,3.1,3,3.6,4.6,6,8.2,10.9,10.6,8.6,6.2,4.4,3.7,6.1
Умба,Мурманская область,2.7,2.7,3.4,4.3,6.1,9.1,12.4,11.7,9,6.2,4.4,3.4,6.3
Варандей,Ненецкий автономный округ,1.6,1.6,2.2,3,4.5,7.1,10.6,10.1,7.9,5,3,2.3,4.9
Индига,Ненецкий автономный округ,2.1,2.2,2.8,3.7,5.2,7.9,11,10.6,8.5,5.8,3.8,2.9,5.5
Канин Нос,Ненецкий автономный округ,3.1,3,3.4,4,5.2,7.3,10.1,10,8.5,6.2,4.7,3.8,5.8
Коткино,Ненецкий автономный округ,1.7,1.9,2.6,3.6,5.3,8.4,11.9,10.7,8.2,5.3,3.3,2.4,5.5
Нарьян-Мар,Ненецкий автономный округ,1.7,1.8,2.6,3.3,5,8.1,11.5,10.6,8.1,5.2,3.2,2.4,5.3
Ходовариха,Ненецкий автономный округ,1.8,1.8,2.4,3.1,4.5,6.9,10.2,9.9,8,5.3,3.5,2.6,5.1
Хоседа-Хард,Ненецкий автономный округ,1.4,1.5,2.4,3.2,5,8.3,11.5,10.3,7.7,4.7,2.7,2,5.1
Арзамас,Нижегородская область,2.8,2.8,3.9,6.5,9.5,13.1,15.4,13.8,10.3,7,4.8,3.4,7.7
Выкса,Нижегородская область,3,2.9,4,6.4,9.5,13.2,15.4,14.1,10.5,7.2,4.9,3.5,7.9
Нижний Новгород,Нижегородская область,2.9,2.9,3.9,6,8.9,12.9,15.3,14,10.4,7,4.7,3.4,7.7
Боровичи,Новгородская область,3.2,3.2,4.2,5.9,9.3,12.6,15.4,14.4,10.8,7.5,5.3,4,8
Великий Новгород,Новгородская область,3.4,3.3,4.1,6.2,9.2,12.7,15.4,14.4,10.9,7.7,5.5,4.1,8.1
Барабинск,Новосибирская область,1.5,1.6,2.8,5.2,7.4,12.2,15.2,13.1,8.8,5.6,3.2,2,6.6
Болотное,Новосибирская область,1.5,1.8,2.9,4.8,7.2,12.1,15.4,13.2,8.8,5.5,3.2,2,6.5
Карасук,Новосибирская область,1.5,1.6,2.9,5.4,7.6,12,15.1,13,8.6,5.7,3.4,2,6.6
Кочки,Новосибирская область,1.6,1.7,2.9,5.3,7.4,12.2,15.2,12.9,8.5,5.6,3.3,2,6.6
Купино,Новосибирская область,1.5,1.6,2.9,5.3,7.4,11.8,15.1,12.8,8.6,5.7,3.3,2,6.5
Кыштовка,Новосибирская область,1.4,1.5,2.7,4.8,7.2,12.2,15.2,12.9,8.6,5.5,3.1,1.8,6.4
Новосибирск,Новосибирская область,1.6,1.7,2.9,5.1,7.3,12.4,15.6,13.4,9,5.7,3.3,2,6.7
Татарск,Новосибирская область,1.5,1.7,2.9,5.3,7.4,11.9,14.9,12.9,8.7,5.6,3.3,2,6.5
Чулым,Новосибирская область,1.5,1.6,2.8,4.9,7.4,12.2,15.3,13,8.6,5.5,3.2,1.9,6.5
Исиль-Куль,Омская область,1.6,1.7,3,5.5,7.6,11.9,15,12.9,8.7,5.8,3.3,2,6.6
Омск,Омская область,1.6,1.7,3,5.4,7.3,11.9,14.8,13,8.8,5.7,3.4,2,6.5
Тара,Омская область,1.5,1.6,2.8,4.9,7.1,12.2,15.1,13.1,8.9,5.5,3.2,1.9,6.5
Черлак,Омская область,1.6,1.7,3,5.6,7.8,12.2,15.2,13.1,8.8,5.9,3.4,2.1,6.7
Кувандык,Оренбургская область,2.2,2.1,3.5,6,8.8,12.6,14.1,12.5,8.7,6.1,4.1,2.6,6.9
Оренбург,Оренбургская область,2.2,2.2,3.6,6.4,8.8,12.5,14.2,12.4,9,6.4,4.4,2.8,7.1
Сорочинск,Оренбургская область,2.3,2.3,3.7,6.5,8.9,12.8,14.8,13,9.4,6.5,4.5,2.9,7.3
Орел,Орловская область,3.3,3.4,4.4,7,10.1,13.5,15.6,14.2,10.7,7.7,5.5,4,8.3
Земетчино,Пензенская область,3,3,4.1,6.9,9.7,13.4,15.6,14,10.5,7.4,5.1,3.6,8
Пенза,Пензенская область,2.9,2.9,4,6.6,9.5,13.4,15.6,14,10.3,7.2,5,3.5,7.9
Бисер,Пермский край,1.8,1.9,3,4.7,6.8,10.9,13.3,11.9,8.6,5.4,3.2,2.2,6.1
Ножовка,Пермский край,2.2,2.1,3.3,5.6,8.3,12.8,15.5,13.6,9.8,6.4,3.9,2.6,7.2
Пермь,Пермский край,2.1,2.2,3.3,5.3,7.7,12.1,14.7,13.1,9.6,6.1,3.8,2.6,6.9
Чердынь,Пермский край,1.9,2.1,3.2,4.8,6.8,10.9,13.9,12.4,9.1,5.8,3.6,2.4,6.4
Агзу,Приморский край,1,1.3,2.5,4.5,7.3,12,16.2,16.4,10.8,5.4,2.5,1.2,6.8
Анучино,Приморский край,1.1,1.6,2.8,5,8.5,14.3,19.3,19.2,12.4,6.5,3.2,1.5,8
Астраханка,Приморский край,1.3,1.8,3.2,5.8,9.7,15.3,20.2,20.3,13.2,7.1,3.4,1.7,8.6
Богополь,Приморский край,1.3,1.6,2.7,4.8,7.8,12.6,17.3,18.4,12.5,6.3,3.1,1.6,7.5
Владивосток,Приморский край,1.6,2.1,3.4,5.8,9.1,13.7,18.9,20.4,14.4,8.1,4,2.1,8.6
Дальнереченск,Приморский край,1.1,1.5,2.8,5.4,9.2,15.1,20.1,19.4,12.3,6.3,3,1.4,8.1
Кировский,Приморский край,1.1,1.5,2.9,5.3,9.1,15.1,19.9,19.5,12.5,6.5,3.1,1.5,8.2
Красный Яр,Приморский край,0.9,1.3,2.5,4.9,8.7,14.6,19.5,18.8,11.9,5.9,2.8,1.2,7.7
Маргаритово,Приморский край,1.5,2,3.2,5.3,8.1,12.6,17.6,18.8,13.1,7.1,3.6,2,7.9
Мельничное,Приморский край,0.9,1.3,2.5,4.8,8,13.3,17.7,17.4,11.2,5.6,2.7,1.2,7.2
Партизанск,Приморский край,1.4,1.9,3,5.3,8.6,13.9,18.9,19.4,13,7,3.5,1.8,8.1
Посьет,Приморский край,1.7,2.2,3.6,6.2,9.8,14.7,20.1,21.4,14.8,8.2,4.1,2.2,9.1
Преображение,Приморский край,1.7,2.1,3.4,5.7,8.5,12.5,17.5,19.5,14.1,7.9,4.1,2.3,8.3
Рудная Пристань,Приморский край,1.4,1.8,3,5.3,8,11.8,16.5,18.2,12.8,6.7,3.3,1.7,7.5
Сосуново,Приморский край,1.5,1.8,3,5.1,7.4,10.8,15,16.9,12.4,6.7,3.2,1.7,7.1
Чугуевка,Приморский край,1.1,1.6,2.9,5.4,8.9,14.3,19,18.8,12.1,6.5,3.2,1.5,7.9
Великие Луки,Псковская область,3.6,3.6,4.5,6.5,10,13.2,15.4,14.2,11,7.9,5.8,4.3,8.3
Псков,Псковская область,3.8,3.7,4.6,6.4,9.3,12.6,15,14.3,11,8,5.9,4.5,8.3
Гигант,Ростовская область,4.5,4.5,5.8,8.3,11.7,14.6,15.4,14.3,11.8,9.2,7,5.4,9.4
Миллерово,Ростовская область,3.7,3.7,5,7.4,10.1,13.5,15,13.1,10.5,8,6,4.5,8.4
Ростов-на-Дону,Ростовская область,4.4,4.4,5.7,8.3,11.9,15.1,16.5,15.2,12.2,9.2,6.8,5.3,9.6
Таганрог,Ростовская область,4.5,4.5,5.9,9.1,13,16.5,18,16.7,13.4,9.7,7,5.3,10.3
Рязань,Рязанская область,3.1,3.1,4.1,6.5,9.5,13.1,15.4,14.1,10.5,7.4,5.1,3.7,8
Самара,Самарская область,2.5,2.5,3.7,6.3,8.7,12.7,15.1,13.6,9.9,6.7,4.6,3.1,7.5
Александров Гай,Саратовская область,3,2.9,4.5,7.4,9.7,12.5,14.2,12.7,9.7,7.1,5.3,3.7,7.7
Балашов,Саратовская область,3.1,3.1,4.3,7,9.8,13.4,15.5,13.7,10.3,7.4,5.3,3.8,8.1
Саратов,Саратовская область,2.9,2.9,4.2,6.9,9.3,12.9,14.9,13.6,10.2,7.3,5.1,3.6,7.8
Алдан,Республика Саха (Якутия),0.7,0.8,1.5,2.9,5.2,9.6,12.8,11.3,6.6,3.1,1.3,0.8,4.7
Амга,Республика Саха (Якутия),0.2,0.3,0.9,2.9,5.9,10.7,13.9,11.7,6.9,3,0.7,0.2,4.8
Батамай,Республика Саха (Якутия),0.2,0.2,0.8,2.4,5.2,10.4,13.9,11.7,6.6,2.7,0.5,0.2,4.6
Бердигястях,Республика Саха (Якутия),0.2,0.4,0.9,2.3,4.8,9.1,12,10.1,5.9,2.7,0.7,0.3,4.1
Буяга,Республика Саха (Якутия),0.3,0.4,1.1,2.8,5.6,10.4,13.6,11.6,6.7,3.1,0.9,0.4,4.7
Верхоянск,Республика Саха (Якутия),0.1,0.2,0.6,1.9,4.7,8.6,11,9.3,5.4,2,0.3,0.1,3.7
Вилюйск,Республика Саха (Якутия),0.3,0.5,1.2,2.6,5,9.4,12.5,10.8,6.5,3.1,0.8,0.4,4.4
Витим,Республика Саха (Якутия),0.7,0.9,1.8,3.4,5.8,10.9,14.4,12.9,7.7,4,1.7,0.9,5.4
Джалинда,Республика Саха (Якутия),0.3,0.3,0.8,1.7,3.7,7.6,10.4,9.1,5.6,2.4,0.6,0.4,3.6
Джарджан,Республика Саха (Якутия),0.2,0.3,0.9,1.9,4.2,8.4,11.9,10.3,6.1,2.6,0.6,0.3,4
Джикимда,Республика Саха (Якутия),0.4,0.6,1.4,3.1,5.8,10.9,14.2,12.4,7.2,3.5,1.2,0.5,5.1
Жиганск,Республика Саха (Якутия),0.2,0.3,0.9,2.1,4.4,8.7,12,10.5,6.2,2.7,0.6,0.3,4.1
Зырянка,Республика Саха (Якутия),0.3,0.3,0.7,2,5,9.4,12.3,10.6,6.5,2.6,0.7,0.3,4.2
Исить,Республика Саха (Якутия),0.3,0.5,1.2,3,5.9,11.2,14.8,12.7,7.3,3.4,1,0.4,5.1
Иэма,Республика Саха (Якутия),0.1,0.2,0.5,1.7,4.3,7.6,10.5,9,5.5,2,0.4,0.2,3.5
Крест-Хальджай,Республика Саха (Якутия),0.1,0.2,0.9,2.5,5.3,10.2,13.4,11.6,6.6,2.8,0.6,0.2,4.5
Кюсюр,Республика Саха (Якутия),0.3,0.3,0.8,1.7,3.8,7.4,10.3,9.2,5.8,2.4,0.6,0.3,3.6
Ленск,Республика Саха (Якутия),0.6,0.8,1.6,3,5.3,10.2,13.7,12,7.1,3.6,1.5,0.8,5
Мирный,Республика Саха (Якутия),0.5,0.7,1.4,2.6,4.8,9.1,12,10.5,6.3,3.2,1.1,0.6,4.3
Нагорный,Республика Саха (Якутия),0.5,0.6,1.2,2.7,5,9.4,12.3,10.5,6.1,2.7,1,0.6,4.4
Нера,Республика Саха (Якутия),0.1,0.2,0.6,2,4.7,8.4,10.9,9.4,5.6,2,0.3,0.1,3.7
Нюрба,Республика Саха (Якутия),0.4,0.5,1.2,2.7,5.3,9.9,13,11.2,6.5,3.2,1,0.5,4.6
Оймякон,Республика Саха (Якутия),0.1,0.2,0.5,1.8,4.5,8.1,10.5,8.9,5.3,1.9,0.3,0.1,3.5
Олекминск,Республика Саха (Якутия),0.5,0.7,1.6,3.1,5.6,10.6,14,12.2,7.1,3.5,1.3,0.6,5.1
Оленек,Республика Саха (Якутия),0.4,0.4,1,1.9,3.8,7.5,10.4,9.3,5.8,2.6,0.7,0.5,3.7
Охотский Перевоз,Республика Саха (Якутия),0.2,0.2,0.9,2.6,5.5,10.8,14.3,12.1,7.1,3,0.6,0.2,4.8
Сангар,Республика Саха (Якутия),0.2,0.3,0.9,2.4,5.1,10,13.5,11.7,6.7,2.8,0.6,0.2,4.5
Саскылах,Республика Саха (Якутия),0.4,0.4,0.7,1.3,3.2,6.8,9.7,8.8,5.7,2.3,0.7,0.5,3.4
Среднеколымск,Республика Саха (Якутия),0.3,0.3,0.7,1.7,4.4,8.2,11,9.5,6.1,2.6,0.8,0.4,3.8
Сунтар,Республика Саха (Якутия),0.5,0.6,1.3,2.7,5.2,10,13.3,11.5,6.7,3.3,1.2,0.6,4.7
Сухана,Республика Саха (Якутия),0.2,0.3,0.7,1.8,3.8,7.5,10.7,9.1,5.5,2.4,0.6,0.3,3.6
Токо,Республика Саха (Якутия),0.3,0.4,1,2.7,5.4,9.2,12.3,10.7,6.4,2.8,0.8,0.3,4.4
Томмот,Республика Саха (Якутия),0.4,0.5,1.2,3,5.6,10.4,13.8,11.8,6.9,3.2,1,0.5,4.9
Томпо,Республика Саха (Якутия),0.1,0.2,0.7,2.2,5,9,11.8,10.2,6,2.2,0.4,0.2,4
Туой-Хая,Республика Саха (Якутия),0.5,0.7,1.4,2.8,5,9.5,14,12.3,7.3,3.7,1.4,0.7,4.9
Тяня,Республика Саха (Якутия),0.5,0.6,1.4,2.9,5.6,10.6,14,12,6.9,3.4,1.2,0.5,5
Усть-Мая,Республика Саха (Якутия),0.2,0.3,1.1,3,5.8,10.6,14,12.1,7.1,3.1,0.8,0.2,4.9
Усть-Миль,Республика Саха (Якутия),0.2,0.4,1.1,3,5.9,10.8,14.2,12,7,3.1,0.8,0.3,4.9
Усть-Мома,Республика Саха (Якутия),0.1,0.2,0.6,1.8,4.7,8.7,11.4,9.7,5.6,2,0.4,0.2,3.8
Чульман,Республика Саха (Якутия),0.5,0.7,1.4,2.8,5.1,9.5,12.6,11,6.4,2.9,1.1,0.5,4.5
Чурапча,Республика Саха (Якутия),0.2,0.3,0.9,2.7,5.5,10.2,13.2,11.3,6.6,2.8,0.6,0.2,4.5
Шелагонцы,Республика Саха (Якутия),0.2,0.3,0.9,2,4.2,8.2,10.9,9.2,5.7,2.6,0.7,0.3,3.8
Эйк,Республика Саха (Якутия),0.3,0.4,0.9,2.1,4.4,8.3,11.7,9.9,5.9,2.6,0.7,0.4,4
Якутск,Республика Саха (Якутия),0.2,0.3,1.1,2.7,5.4,10.1,13.2,11.4,6.6,2.9,0.7,0.2,4.6
Александровск-Сахалинский,Сахалинская область,1.5,1.6,2.6,4.5,6.9,10.7,14.5,15.4,11.1,6.5,3.4,2.1,6.7
Долинск,Сахалинская область,2,2,3.1,4.9,7.1,10.8,14.9,16.4,12.3,7.6,4.5,2.8,7.4
Корсаков,Сахалинская область,2.4,2.4,3.5,5.4,7.7,11.1,15.1,17.1,13.5,8.5,5,3.2,7.9
Курильск,Сахалинская область,3.6,3.3,4,5.6,7.7,10.5,14,16.1,13.7,9.9,6.8,4.6,8.3
Макаров,Сахалинская область,1.7,1.8,2.8,4.7,6.8,10.2,14.1,15.7,11.8,7,3.7,2.2,6.9
Невельск,Сахалинская область,2.6,2.6,3.5,5.5,7.9,11.5,15.8,17.5,13.3,8.2,4.8,3.2,8
Ноглики,Сахалинская область,1.4,1.5,2.4,4.3,6.2,9.3,12.6,13.9,10.6,6.1,3,1.7,6.1
Оха,Сахалинская область,1.7,1.7,2.6,4.5,6.3,9.2,12.3,13,10,6.2,3.6,2.3,6.1
Погиби,Сахалинская область,1.3,1.4,2.3,4.4,6.6,10.7,14.5,15.8,11.9,6.7,3.1,1.7,6.7
Поронайск,Сахалинская область,1.5,1.6,2.8,4.9,7.2,10.6,14.4,15.8,11.7,6.9,3.6,1.9,6.9
Холмск,Сахалинская область,2.5,2.6,3.6,5.5,7.9,11.4,15.5,17,13,8.3,4.8,3.2,7.9
Южно-Курильск,Сахалинская область,3.3,3.2,4,5.7,7.8,10.5,13.9,16.7,14.5,10,6.5,4.2,8.4
Южно-Сахалинск,Сахалинская область,2.1,2.2,3.3,5.2,7.6,11.3,15.4,16.8,12.5,7.7,4.6,2.8,7.6
Верхотурье,Свердловская область,1.7,1.8,3.1,5,7.1,11.6,14.5,12.9,9,5.5,3.3,2.2,6.5
Екатеринбург,Свердловская область,1.9,2.1,3.2,5.1,7.3,11.7,14.3,12.8,9.1,5.7,3.5,2.4,6.6
Ивдель,Свердловская область,1.4,1.6,2.8,4.5,6.5,10.9,14.1,12.3,8.6,5.1,2.9,1.8,6
Каменск-Уральский,Свердловская область,1.8,1.9,3.2,5.6,8.3,12.9,15.9,13.7,9.6,6.2,3.6,2.3,7.1
Туринск,Свердловская область,1.7,1.8,3.1,5.3,7.8,12.7,15.6,13.8,9.6,5.8,3.4,2.1,6.9
Шамары,Свердловская область,2,2.1,3.3,5.3,7.9,12.1,14.8,13.1,9.3,6.1,3.7,2.5,6.9
Владикавказ,Республика Северная Осетия - Алания,4,4.3,5.7,8.5,12.1,15.2,17.4,17.1,13.5,9.4,6.4,4.7,9.8
Вязьма,Смоленская область,3.3,3.3,4.2,6.4,9.7,13,15.2,14,10.4,7.4,5.3,4,8
Смоленск,Смоленская область,3,3.1,4.1,6.5,9.7,12.9,14.9,14.2,10.7,7.5,5.5,4,8
Арзгир,Ставропольский край,4.5,4.5,5.9,8.7,11.8,14.8,16,15.4,12.9,9.7,7.3,5.5,9.8
Кисловодск,Ставропольский край,3.6,3.7,4.9,7.4,10.4,13.3,15.3,14.8,11.8,8.2,5.5,4.1,8.6
Минеральные Воды,Ставропольский край,4.4,4.5,6,8.7,12.3,15.4,17,16.4,13.1,9.7,7,5.1,10
Невинномысск,Ставропольский край,4.3,4.5,5.9,8.6,12,15.1,16.6,16.1,12.9,9.5,6.9,5.1,9.8
Ставрополь,Ставропольский край,4.3,4.5,5.6,8,11.3,14,15.3,14.7,12.1,9.2,6.7,5.1,9.3
Тамбов,Тамбовская область,3.1,3.1,4.3,6.9,9.7,13.4,15.5,14.1,10.6,7.5,5.3,3.7,8.1
Бугульма,Республика Татарстан (Татарстан),2.3,2.3,3.4,5.8,8,12.3,14.6,12.8,9.3,6.3,4.1,2.8,7
Елабуга,Республика Татарстан (Татарстан),2.4,2.4,3.7,6.1,8.8,13.1,15.5,13.9,10.2,6.6,4.4,2.9,7.5
Казань,Республика Татарстан (Татарстан),2.5,2.5,3.7,6.1,8.8,13,15.5,13.9,10.3,6.8,4.5,3.1,7.6
Бежецк,Тверская область,2.8,3,3.9,6,9.6,12.8,15.2,13.9,10.4,7.1,5,3.6,7.8
Старица,Тверская область,3.2,3.1,4.1,6.1,9.3,12.7,15.1,14,10.4,7.2,5.1,3.8,7.8
Тверь,Тверская область,3.2,3.2,4.1,6.2,9.5,12.8,15.1,14,10.5,7.4,5.1,3.8,7.9
Александровское,Томская область,1.3,1.5,2.6,4.1,6.3,11.5,14.9,12.8,8.7,5.1,2.7,1.7,6.1
Колпашево,Томская область,1.4,1.5,2.6,4.2,6.7,11.8,15.1,13.1,8.8,5.3,2.9,1.8,6.3
Средний Васюган,Томская область,1.4,1.6,2.7,4.2,6.5,11.6,14.9,12.9,8.7,5.3,2.8,1.8,6.2
Томск,Томская область,1.5,1.7,2.8,4.6,7.2,12.5,15.8,13.6,9.1,5.5,3.1,2,6.6
Усть-Озерное,Томская область,1.3,1.5,2.5,3.9,6.3,11.4,14.8,12.7,8.5,5,2.6,1.6,6
Тула,Тульская область,3.2,3.2,4.3,6.6,9.7,13.1,15.4,14.1,10.5,7.4,5.2,3.8,8.1
Кызыл,Республика Тыва,0.5,0.8,2.3,4,5.8,9.9,12.9,11.6,7.5,4.3,2,0.7,5.2
Демьянское,Тюменская область,1.5,1.6,2.9,4.5,7,11.9,15.1,13.1,9,5.6,3,1.9,6.4
Тобольск,Тюменская область,1.5,1.6,2.9,5,7.5,12.4,15.3,13.3,9.1,5.6,3.2,2,6.6
Тюмень,Тюменская область,1.7,1.8,3,5.2,7.4,12.2,15.2,13.5,9.2,5.7,3.4,2.1,6.7
Глазов,Удмуртская Республика,2.2,2.2,3.4,5.5,8.2,12.4,14.9,13,9.7,6.2,3.9,2.7,7
Ижевск,Удмуртская Республика,2.2,2.3,3.4,5.7,8.2,12.5,15,13.4,9.8,6.4,4.1,2.7,7.1
Сарапул,Удмуртская Республика,2.3,2.3,3.5,5.8,8.6,13,15.3,13.6,9.9,6.5,4.2,2.8,7.3
Сурское,Ульяновская область,2.7,2.7,3.8,6.3,9.3,13.3,15.6,13.9,10.4,7,4.8,3.3,7.8
Ульяновск,Ульяновская область,2.8,2.6,3.8,6.3,9,13.5,15.6,13.9,10.4,6.9,4.7,3.2,7.7
Аян,Хабаровский край,0.9,1,1.9,3.7,5.7,8.7,12.4,12.8,8.8,4.2,1.8,1.1,5.2
Байдуков,Хабаровский край,1.2,1.2,2.1,4,6.2,11.2,14.7,15.3,11.4,6.4,3,1.6,6.5
Бикин,Хабаровский край,1,1.4,2.9,5.4,9,14.7,19.6,18.7,11.8,6.1,2.9,1.4,7.9
Вяземский,Хабаровский край,1,1.4,2.7,5.3,8.8,14.8,19.7,18.7,11.7,5.9,2.8,1.3,7.8
Гвасюги,Хабаровский край,0.8,1.1,2.3,4.7,8.2,14.1,18.8,18,11.4,5.7,2.5,1.1,7.4
Джаорэ,Хабаровский край,1.2,1.3,2.2,4.2,6.5,11.2,15.1,15.5,11.2,5.8,2.7,1.4,6.5
Им. Полины Осипенко,Хабаровский край,0.7,1,2,4.1,6.9,12,16,15.4,10.1,4.9,2,0.8,6.3
Комсомольск-на-Амуре,Хабаровский край,0.8,1.1,2.4,4.8,8.3,14,18.2,17.2,11.3,5.7,2.4,1,7.3
Нижнетамбовское,Хабаровский край,0.8,1,2.1,4.4,7.7,13.1,17.4,16.7,11.1,5.6,2.4,1,7
Николаевск-на-Амуре,Хабаровский край,1,1.2,2.1,4,6.6,11.4,15.4,15,10.5,5.6,2.5,1.3,6.4
Охотск,Хабаровский край,0.9,1,1.7,3.6,5.9,9.3,13,13.2,9,4,1.6,1,5.4
Советская Гавань,Хабаровский край,1.3,1.6,2.7,4.7,7.1,10.6,14.4,15.9,11.5,6.3,3.1,1.6,6.7
Софийский Прииск,Хабаровский край,0.4,0.7,1.3,3,5.6,9.9,13.4,12,7.4,3.5,1.3,0.5,4.9
Троицкое,Хабаровский край,0.9,1.3,2.5,5.2,9.1,14.8,19.3,18.2,12,6,2.7,1.2,7.8
Хабаровск,Хабаровский край,1,1.3,2.5,4.8,8.4,14.5,19.4,18.3,11.6,5.5,2.6,1.2,7.6
Чумикан,Хабаровский край,0.8,1.1,2,4.1,6.1,9.3,12.9,13.6,9.5,4.7,1.9,0.9,5.6
Абакан,Республика Хакасия,1.4,1.6,2.9,4.5,6.9,11.9,15,13.4,8.8,5.2,2.9,1.7,6.4
Шира,Республика Хакасия,1.3,1.5,2.5,4,6.4,10.7,13.6,11.9,7.8,4.6,2.6,1.6,5.7
Березово (ХМАО),Ханты-Мансийский автономный округ - Югра,1.2,1.3,2.4,3.6,5.6,10,13.7,11.7,8.2,4.8,2.5,1.6,5.5
Кондинское,Ханты-Мансийский автономный округ - Югра,1.6,1.6,2.9,4.7,7.3,11.9,14.9,13.1,9.2,5.7,3.1,1.9,6.5
Леуши,Ханты-Мансийский автономный округ - Югра,1.6,1.7,2.9,4.7,7,11.6,14.5,12.7,8.9,5.4,3.1,2,6.3
Октябрьское,Ханты-Мансийский автономный округ - Югра,1.3,1.5,2.7,4,6,10.4,13.8,12.2,8.5,5.1,2.7,1.7,5.8
Сосьва,Ханты-Мансийский автономный округ - Югра,1.2,1.3,2.5,3.8,5.7,9.7,13.4,11.4,8,4.8,2.4,1.6,5.5
Сургут,Ханты-Мансийский автономный округ - Югра,1.2,1.3,1.9,3.9,6,10.5,13.6,12.7,8.9,5,2.4,1.4,5.7
Угут,Ханты-Мансийский автономный округ - Югра,1.4,1.5,2.7,4.2,6.5,11.5,14.4,12.6,8.7,5.3,2.8,1.7,6.1
Ханты-Мансийск,Ханты-Мансийский автономный округ - Югра,1.4,1.5,2.8,4.4,6.6,11.5,14.8,12.8,8.8,5.3,2.9,1.8,6.2
Верхнеуральск,Челябинская область,1.6,1.7,2.9,5.4,7.6,11.6,13.9,12.3,8.5,5.4,3.4,2,6.4
Нязепетровск,Челябинская область,2,2.1,3.3,5.3,7.8,12,14.5,12.9,9.1,5.9,3.6,2.4,6.7
Челябинск,Челябинская область,1.9,1.9,3.2,5.6,8.3,12.7,15.4,13.5,9.4,6,3.6,2.3,7
Грозный,Чеченская Республика,4.7,4.9,6.5,9.4,13.3,16.6,18.5,18.2,14.9,10.7,7.6,5.6,10.9
Порецкое,Республика Чувашия - Чувашия,2.7,2.7,3.8,6.4,8.9,13.1,15.5,13.9,10.2,6.9,4.7,3.2,7.7
Чебоксары,Республика Чувашия - Чувашия,2.5,2.5,3.5,6,8.8,12.7,15.1,13.8,10.2,6.7,4.4,3.1,7.5
Анадырь,Чукотский автономный округ,1.4,1.3,1.4,2.2,4.7,7.5,10.8,10.1,7,3.9,2.3,1.5,4.5
Березово (Чукотскй АО),Чукотский автономный округ,1.1,1.1,1,1.8,4.4,7.6,10.2,9.5,6.1,3.2,1.6,1,4.1
Марково,Чукотский автономный округ,1,1,1.2,2,4.7,8.6,11.8,10.5,6.6,3.2,1.6,1.1,4.4
Омолон,Чукотский автономный округ,0.3,0.4,0.8,1.8,4.6,8.1,10.8,9.2,5.9,2.6,0.8,0.4,3.8
Островное,Чукотский автономный округ,0.4,0.5,0.9,1.8,4.5,8.1,10.4,8.9,5.9,2.5,0.9,0.5,3.8
Усть-Олой,Чукотский автономный округ,0.3,0.4,0.7,1.7,4.3,7.8,10.5,9,5.7,2.4,0.7,0.4,3.7
Эньмувеем,Чукотский автономный округ,0.9,0.9,1,1.6,4.3,7.9,10.4,9.1,5.7,2.8,1.4,0.9,3.9
Марресаля,Ямало-Ненецкий автономный округ,1.3,1.3,1.8,2.4,3.9,6.5,9.2,9.2,7.3,4.3,2.5,1.7,4.3
Надым,Ямало-Ненецкий автономный округ,1,1.1,2,3,4.7,8.8,12.3,10.9,7.8,4.4,2.2,1.4,5
Салехард,Ямало-Ненецкий автономный округ,1,1.1,1.9,2.9,4.7,8.4,12,10.5,7.6,4.4,2.1,1.4,4.8
