location,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,year
Агинское,Забайкальский край,-22.8,-19,-9.4,1.3,9.5,16.1,18.6,16,8.7,-0.5,-12.2,-20.2,-1.2
Акша,Забайкальский край,-22.6,-18.2,-8.5,1.7,9.6,16,18.3,15.8,8.8,-0.1,-11.3,-19.6,-0.8
Александровский Завод,Забайкальский край,-26.1,-22.3,-12.8,-0.4,8,14.2,16.8,14.4,7.3,-2.1,-14.9,-23.6,-3.5
Борзя,Забайкальский край,-26.5,-21.9,-10.7,1.5,10.1,16.9,19.3,16.8,9.4,-0.4,-13.4,-23.4,-1.9
Дарасун,Забайкальский край,-21.9,-18.2,-9.5,0.7,8.6,15,17.3,14.7,7.6,-1,-11.7,-19.3,-1.5
Калакан,Забайкальский край,-34.2,-27.7,-16.2,-2.8,6.7,14,16.6,13.4,5.6,-5.8,-21.7,-32.5,-7
Красный Чикой,Забайкальский край,-25.7,-20.5,-9.4,1.5,9.2,15.3,17.6,14.9,7.9,-0.9,-12.7,-21.8,-2
Могоча,Забайкальский край,-28.3,-23.3,-13.2,-1,7.7,14.5,17.1,14.1,6.7,-3.8,-18.4,-27.4,-4.6
Нерчинск,Забайкальский край,-29.8,-24.4,-11.9,1.8,10.4,17.3,19.9,17,9.3,-0.8,-15.6,-26.9,-2.8
Нерчинский Завод,Забайкальский край,-26.9,-21.9,-10.8,1.5,10,16.1,18.6,15.9,8.9,-0.6,-14.5,-24.7,-2.4
Средний Калар,Забайкальский край,-35.3,-28.9,-18,-4.6,5.3,12.8,15.5,12.3,4.5,-7,-22.6,-33.4,-8.3
Тунгокочен,Забайкальский край,-30.2,-25,-15.1,-2.2,6.6,13.4,15.9,13,5.6,-4.3,-18.4,-28.3,-5.7
Тупик,Забайкальский край,-31.4,-26,-15.5,-2.7,6.9,14,16.5,13.6,6,-4.7,-20,-29.9,-6.1
Чара,Забайкальский край,-32.7,-28,-17.1,-3.9,5.4,13.5,16.4,13.4,5.3,-6.1,-20.8,-30.7,-7.1
Чита,Забайкальский край,-25.5,-20,-9.4,1.3,9.5,16.4,18.7,15.9,8.5,-0.8,-13,-22.5,-1.7
Иваново,Ивановская область,-10.3,-9.2,-3.4,5,12,16.3,18.6,16.4,10.4,4,-2.5,-7.4,4.2
Кинешма,Ивановская область,-10.5,-9.1,-3.1,4.9,12.1,16.4,18.7,16.5,10.6,4,-2.6,-7.6,4.2
Магас*,Республика Ингушетия,-2.1,-0.8,3.7,9,13.2,19,21.5,21.5,16.3,10.1,4,-0.4,9.6
Алыгджер,Иркутская область,-16.2,-13.7,-7.2,0.8,7.2,12.6,14.9,12.5,6.5,0.5,-7.7,-13.9,-0.3
Байкальск,Иркутская область,-15.2,-15.8,-8.3,0.4,7,12.3,16,14.4,8.7,2.2,-5,-10,0.5
Бодайбо,Иркутская область,-30.1,-25.7,-14,-2,6.7,14.7,18.2,15,6.7,-3.4,-17.6,-27.8,-4.9
Братск,Иркутская область,-20.3,-17.5,-8.9,0,7,14.4,18.1,15.3,8.3,0.4,-9.1,-17,-0.8
Верхне-Марково,Иркутская область,-27.3,-24,-13.6,-1.4,7.4,15.2,18,14.7,6.8,-2.3,-16,-25.1,-4
Верхняя Гутара,Иркутская область,-19.1,-16.2,-9.3,-1,5.7,11.9,14.2,11.6,5.3,-1.8,-10.1,-16.6,-2.1
Ербогачен,Иркутская область,-30.7,-27.3,-15.9,-4.5,5.5,14.4,17.5,13.5,5.3,-5.5,-20.5,-28.6,-6.4
Ершово,Иркутская область,-22,-18.2,-9.1,-0.1,7.7,15.5,18.3,15.3,7.7,-1,-11,-19.2,-1.3
Жигалово,Иркутская область,-30.7,-27.3,-15.9,-4.5,5.5,14.4,17.5,13.5,5.3,-5.5,-20.5,-28.6,-6.4
Зима,Иркутская область,-21.6,-18,-8.5,1.8,9.6,16,18.4,15.5,8.4,0.1,-10.4,-18.7,-0.6
Ика,Иркутская область,-29.1,-25.5,-15,-3.8,5.6,13.9,16.5,13,5.1,-4.5,-18.1,-26.7,-5.7
Иркутск,Иркутская область,-18.4,-15.4,-6.7,2.5,9.8,15.8,18.2,15.7,9.1,1.5,-7.9,-15.7,0.7
Киренск,Иркутская область,-27.1,-23.6,-12.8,-1.4,7.5,15.4,18.1,14.9,6.8,-2.5,-15.5,-24.6,-3.7
Мама,Иркутская область,-27.9,-23.7,-13,-1.6,7,15,18.2,15,6.9,-2.7,-16,-25.7,-4
Наканно,Иркутская область,-34.4,-29.9,-17.3,-5.6,4.6,14,17,13,4.8,-6.8,-23.6,-32,-8
Непа,Иркутская область,-27.9,-24,-13.4,-2.7,6.4,14.5,17.4,13.7,5.7,-4,-17.4,-25.9,-4.8
Орлинга,Иркутская область,-26.7,-22.4,-12,-1.1,7.3,14.8,17.3,14.2,6.6,-2.2,-14.1,-23.7,-3.5
Перевоз,Иркутская область,-26.3,-23.1,-13.9,-2.6,6.4,14.3,17.1,13.7,5.8,-3.9,-16.8,-24.4,-4.5
Преображенка,Иркутская область,-28.7,-25.8,-15.3,-3.9,6,14.4,17.3,13.6,5.6,-4.4,-18.2,-26.5,-5.5
Тайшет,Иркутская область,-18.9,-15.8,-7.3,1.8,9.3,16.2,18.4,15.4,8.4,0.5,-9.1,-16.4,0.2
Тулун,Иркутская область,-20.1,-16.3,-7.9,1.2,8.9,15.3,17.5,14.8,8,-0.2,-10.1,-17.5,-0.5
Усть-Ордынский,Иркутская область,-23.2,-20.4,-10.5,1.2,9.1,15.8,18.1,15.3,8.2,-0.6,-11.8,-19.9,-1.6
Чечуйск,Иркутская область,-26.3,-23.5,-13.6,-2.3,6.9,14.9,17.6,14.4,6.7,-2.4,-15.8,-24,-3.9
Нальчик,КабардиноБалкарская Республика,-2.8,-2.1,3.1,10.3,15.3,19.6,22.3,21.7,16.9,10.3,4.1,-0.6,9.8
Калининград,Калининградская область,-2.3,-1.5,1.9,7,12.4,15.7,17.9,17.4,13.1,8.3,3.6,-0.1,7.8
Элиста,Республика Калмыкия,-5,-4.5,1.4,10.4,17.1,21.9,24.9,23.8,17.3,9.5,2.6,-2.3,9.7
Калуга,Калужская область,-8.3,-7.8,-2.2,6,12.9,16.2,18.1,16.5,10.8,5,-1.1,-5.8,5
Апука,Камчатский край,-12.7,-12.7,-11,-6,1.3,6.8,10.4,10.8,7.2,-0.5,-7.5,-11.8,-2.1
Большерецк,Камчатский край,-11.4,-10.7,-7.1,-1.9,2.9,7.5,11.3,11.8,8.9,4,-3.2,-8.7,0.3
Ича,Камчатский край,-12.1,-12.1,-8.3,-2.7,2.3,6.7,10.7,11.7,8.9,3.7,-3.5,-9.1,-0.3
Ключи,Камчатский край,-16.2,-13.4,-8.5,-2,5.1,11.8,15.4,14,9.2,2.4,-6.4,-13.8,-0.2
Козыревск,Камчатский край,-18.2,-14.5,-8.5,-1.1,6.1,12.7,16.3,14.3,8.5,1.7,-8.2,-16.1,-0.6
Корф,Камчатский край,-14.3,-14.2,-11.4,-6.4,1.9,8.5,12.2,12.2,8,-0.3,-8.8,-13.6,-2.2
Кроноки,Камчатский край,-7.9,-7.2,-5.2,-1.4,2.8,7.2,10.8,11.8,8.4,3.5,-2.9,-7,1.1
"Лопатка, мыс",Камчатский край,-4.6,-5.3,-3.9,-1.2,1.3,4.6,7.9,9.6,8.8,5.5,0.5,-2.7,1.7
Мильково,Камчатский край,-19,-15.9,-10.1,-1.6,6,12.6,15.9,14.1,8.5,1.1,-9.4,-17.2,-1.3
Начики,Камчатский край,-18.4,-15.8,-10.8,-3.4,2.6,8.7,12.7,12.2,7.4,1.1,-8.4,-16.3,-2.4
о. Беринга,Камчатский край,-3.2,-3.4,-2.5,-0.4,2.4,5.7,9.1,11,9.6,5.4,0.8,-2.1,2.7
Оссора,Камчатский край,-14.4,-14,-11.3,-6,1.2,8,12.4,12.5,8.3,1.3,-6.7,-12.7,-1.8
Петропавловск-Камчатский,Камчатский край,-6.9,-6.5,-3.9,0.1,4.5,9.3,12.7,13.5,10.4,5.3,-0.9,-5.1,2.7
Семячик,Камчатский край,-6.2,-5.9,-4.3,-0.7,3.4,8,11.6,12.9,10.2,5.2,-1.1,-4.9,2.3
Соболево,Камчатский край,-13.6,-12.7,-8.7,-2.6,3.2,8.2,12,12.4,8.8,3.3,-4.7,-10.8,-0.4
Усть-Воямполка,Камчатский край,-17.3,-16.6,-12.4,-5.2,1.5,6.8,10.3,10.8,7.4,1.3,-7,-14,-2.9
Усть-Камчатск,Камчатский край,-11.8,-11.1,-8.2,-3.2,1.9,7.6,11.4,12.2,9,3.2,-4.1,-9.8,-0.2
Усть-Хайрюзово,Камчатский край,-13.8,-13.3,-9.5,-3.4,2.9,8,11.8,12.3,8.5,2.6,-4.9,-10.9,-0.8
Черкесск,КарачаевоЧеркесская Республика,-3,-2.1,2.8,9.9,14.9,18.4,21.2,20.7,16,9.9,3.9,-0.6,9.3
Калевала,Республика Карелия,-12.6,-11.8,-6.3,-0.6,6.3,12.5,15.7,12.9,7.6,1.5,-4.3,-9.2,1
Кемь,Республика Карелия,-10.7,-10.1,-5.3,-0.4,5.2,10.9,14.5,13.2,8.8,2.7,-2.9,-7.3,1.5
Олонец,Республика Карелия,-9.8,-9.3,-4.1,2.6,9.5,14.3,17.1,14.9,9.7,4.1,-1.5,-6.3,3.4
Паданы,Республика Карелия,-11.1,-10.4,-5.1,0.4,6.9,12.8,16.2,14.2,9.1,3,-2.7,-7.5,2.2
Петрозаводск,Республика Карелия,-10.2,-9.2,-3.8,1.9,8.7,13.7,16.7,14.6,9.4,3.4,-2.2,-6.7,3
Реболы,Республика Карелия,-11.8,-11.2,-5.6,0.2,7.3,13.2,16.3,13.7,8.3,2.1,-3.6,-8.4,1.7
Сортавала,Республика Карелия,-9,-8.6,-3.7,2.2,8.9,14,17.2,15.2,9.8,4.2,-0.8,-5.4,3.7
Кемерово,Кемеровская область,-18.1,-15.9,-7.7,2.2,10.4,16.7,19,15.9,9.6,2,-7.8,-15.1,0.9
Киселевск,Кемеровская область,-15.7,-13.6,-5.8,3.4,11.1,17,19.4,16.4,10.1,2.9,-6.5,-13.3,2.1
Кондома,Кемеровская область,-17.6,-14.7,-6.6,2.3,10,15.5,17.8,15.1,8.9,2,-7.7,-15,0.8
Мариинск,Кемеровская область,-17.1,-15.2,-6.9,2.1,9.9,16.2,18.7,15.5,9.1,1.7,-7.8,-14.5,1
Тайга,Кемеровская область,-18.2,-16,-7.9,0.9,8.7,15.2,17.6,14.5,8.2,0.7,-9.1,-15.5,-0.1
Тисуль,Кемеровская область,-16.7,-14.8,-6.9,2.3,9.6,15.9,18.2,15.3,9.2,1.9,-7.4,-13.7,1.1
Топки,Кемеровская область,-17.1,-15.2,-7.4,1.8,10,16,18.5,15.4,9.2,1.5,-8.1,-14.5,0.8
Усть-Кабырза,Кемеровская область,-19.7,-16,-6.8,2.2,9.8,15.6,17.8,15.2,8.8,1.6,-8.4,-17,0.2
Кильмезь,Кировская область,-12.8,-11.5,-4.5,4.3,12.2,16.6,18.9,16.4,10.4,3,-4.1,-10,3.2
Киров,Кировская область,-13,-11.3,-4.3,3.9,11.3,16.1,18.6,15.8,9.7,2.4,-4.5,-10.1,3
Нагорское,Кировская область,-14.1,-12.2,-4.9,2.7,10,15.1,17.7,14.7,8.8,1.5,-5.7,-11.2,1.9
Вендинга,Республика Коми,-16.3,-14.1,-6.8,0,6.8,13.2,16.5,12.9,7.3,0.6,-6.7,-12.4,0.1
Воркута,Республика Коми,-20.4,-20,-14.2,-9.4,-2.1,7.3,13,9.5,4.4,-4.2,-12.8,-16.7,-5.5
Объячево,Республика Коми,-14.1,-11.9,-4.7,2.7,9.5,14.8,17.3,14.3,8.6,1.5,-5.5,-11,1.8
