location,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,year
Гвасюги,Хабаровский край,-23.8,-19,-8.9,2.5,10.4,16.4,20,18.5,11.6,2.4,-9.6,-20.9,0
Джаорэ,Хабаровский край,-19.4,-17.6,-11,-2.6,3.3,11.5,15.6,16.1,11.5,2.8,-8,-16.5,-1.2
Им. Полины Осипенко,Хабаровский край,-26.7,-21.4,-10.8,0.5,8.4,15.1,18.2,17,10.7,1.2,-13,-24.4,-2.1
Комсомольск-на-Амуре,Хабаровский край,-24.9,-19.7,-9.1,2.5,10.8,17.4,20.8,19.1,12.5,3.2,-10.1,-21.5,0.1
Нижнетамбовское,Хабаровский край,-25.1,-21,-10.8,1.1,9.6,16.1,19.5,18,11.7,2.7,-10.3,-21.9,-0.9
Николаевск-на-Амуре,Хабаровский край,-22.2,-19.3,-11.6,-2.2,5.1,13,16.7,16,10.5,1.9,-10.1,-19.5,-1.8
Охотск,Хабаровский край,-20.8,-18.7,-12.6,-4.4,2,7.7,12.5,13.5,8.6,-1.7,-13.7,-19.3,-3.9
Советская Гавань,Хабаровский край,-15.8,-13.7,-6.6,0.9,6.1,10.9,14.8,16.8,12.9,5.6,-4.4,-12.7,1.2
Софийский Прииск,Хабаровский край,-31,-25.8,-15.7,-3.8,5.5,12.4,15.6,13,6,-4.6,-19.5,-29.8,-6.5
Троицкое,Хабаровский край,-21.8,-17.6,-8.1,3.3,11.6,17.8,21,19.5,13.2,4.4,-7.8,-18.7,1.4
Хабаровск,Хабаровский край,-20.2,-16,-6.6,4.6,12.4,18,21.4,19.7,13.6,4.9,-7.2,-17.7,2.2
Чумикан,Хабаровский край,-21.7,-17.8,-10.1,-2.2,2.8,8.6,12.6,14.2,9.9,1,-12,-20.4,-2.9
Абакан,Республика Хакасия,-18.7,-16.3,-6,4,11.3,17.8,19.9,16.8,10,2,-7.5,-15.4,1.5
Шира,Республика Хакасия,-17,-15.4,-7,2.4,9.6,15.9,18.1,15.2,9,1.6,-7.6,-14.5,0.9
Березово (ХМАО),ХантыМансийский автономный округ  Югра,-22.1,-20.1,-10.6,-3.7,3.9,12.4,16.5,12.6,6.5,-2.1,-12.8,-18.7,-3.2
Кондинское,ХантыМансийский автономный округ  Югра,-18.9,-17,-7.9,0.6,8.7,16,18.8,15.2,8.8,0.7,-9.1,-15.6,0
Леуши,ХантыМансийский автономный округ  Югра,-17.8,-15.5,-6.2,1.7,9,15.7,18.3,14.8,8.8,0.8,-8.5,-14.8,0.5
Октябрьское,ХантыМансийский автономный округ  Югра,-20.9,-18.4,-8.8,-1.6,5.7,13.6,17.2,13.2,7,-1.5,-11.4,-17.7,-2
Сосьва,ХантыМансийский автономный округ  Югра,-22.4,-19.6,-9.3,-2,5.5,13.1,17,12.9,6.8,-1.6,-12.8,-18.9,-2.6
Сургут,ХантыМансийский автономный округ  Югра,-21.1,-19,-9.7,-2.2,5.5,14.3,18.1,14.2,7.8,-0.9,-11.6,-17.8,-1.9
Угут,ХантыМансийский автономный округ  Югра,-20.6,-18.1,-8.6,-0.8,6.5,14.8,17.9,14.1,7.9,-0.5,-11.1,-17.6,-1.4
Ханты-Мансийск,ХантыМансийский автономный округ  Югра,-20.1,-17.9,-8.4,-0.7,7,14.8,18,14.2,7.9,-0.3,-10.4,-16.8,-1.1
Верхнеуральск,Челябинская область,-16.7,-15.8,-8.2,3.7,11.6,16.3,17.8,15.6,9.8,2.2,-6.2,-13.8,1.4
Нязепетровск,Челябинская область,-15.1,-13.4,-5.6,3.5,10.6,15.6,17.4,14.7,9.2,2,-6,-12.5,1.7
Челябинск,Челябинская область,-15,-13.5,-5.8,4.7,12.4,17.6,19.2,16.7,11,3.5,-5.3,-12.2,2.8
Грозный,Чеченская Республика,-2.7,-1.8,3.8,11,16.7,21.1,24,23.1,18.2,10.8,4.6,-0.1,10.7
Порецкое,Республика Чувашия  Чувашия,-10.9,-10.4,-4.3,5.8,13.5,17.1,19.2,17.3,11.4,4.1,-2.7,-8.1,4.3
Чебоксары,Республика Чувашия  Чувашия,-11.4,-10.4,-4.3,4.8,13,17.1,19.4,17.2,11.2,3.9,-3.2,-8.7,4
Анадырь,Чукотский автономный округ,-20.9,-21.9,-19.5,-13,-1.9,6.3,11.4,10.1,4.7,-4.9,-13.7,-19.6,-6.9
Березово (Чукотский АО),Чукотский автономный округ,-24.2,-24.9,-23.7,-15.1,-1.6,9.1,12.2,9.7,3.2,-7.9,-18.8,-25.2,-8.9
Марково,Чукотский автономный округ,-25.6,-25,-21.3,-13.6,0,11.6,14.6,11.2,4.4,-7.5,-18.6,-24.9,-7.9
Омолон,Чукотский автономный округ,-36.8,-34.4,-25.8,-13.3,2.2,12.1,14.4,10.5,3.2,-10.5,-26.6,-35.5,-11.7
Островное,Чукотский автономный округ,-34,-32.5,-24.2,-12.8,1.9,11.9,14,9.9,2.8,-10.8,-25.1,-32.7,-11
Усть-Олой,Чукотский автономный округ,-36.1,-34.3,-25.4,-13,2.3,11.9,13.9,9.8,2.8,-10.9,-26.6,-34.6,-11.7
Эньмувеем,Чукотский автономный округ,-25.7,-25.4,-22.5,-15.1,-0.8,10.6,13.4,9.9,2.9,-8.8,-19.2,-24.8,-8.8
Марресаля,ЯмалоНенецкий автономный округ,-21.6,-21.9,-17.3,-12.8,-5.2,2.3,7.3,7.2,3.8,-4.2,-12.7,-17.9,-7.8
Надым,ЯмалоНенецкий автономный округ,-23.7,-22.6,-14,-7.5,0.2,10.5,15.7,12,5.8,-3.9,-15.1,-20.5,-5.3
Салехард,ЯмалоНенецкий автономный округ,-24.1,-23.1,-15.1,-8.6,-0.8,9.2,14.6,11.2,5.4,-3.8,-14.9,-20.3,-5.9
Тарко-Сале,ЯмалоНенецкий автономный округ,-25.2,-23.6,-14.9,-7.8,0,11.3,16.4,12.4,5.8,-4.3,-16.1,-21.7,-5.6
Уренгой,ЯмалоНенецкий автономный округ,-26.5,-24.9,-16.7,-10,-1.6,9.7,15.5,11.7,5,-5.5,-17.7,-22.8,-7
Ярославль,Ярославская область,-10.2,-9.1,-3.3,4.7,12,16.1,18.4,16.2,10.3,4,-2.3,-7.3,4.3
